时间,商品名称,库存变化,单笔销量
2026-06-23 12:15:55,yeti,初始库存: 53535,0
2026-06-23 12:18:41,yeti,53535->53534,1
2026-06-23 12:23:20,yeti,53534->53533,1
2026-06-23 12:38:36,yeti,53533->53532,1
2026-06-23 12:38:56,yeti,53532->53531,1
2026-06-23 12:39:57,yeti,53531->53530,1
2026-06-23 12:40:08,yeti,53530->53531,-1
2026-06-23 12:40:50,yeti,53531->53530,1
2026-06-23 12:42:02,yeti,53530->53531,-1
2026-06-23 12:45:09,yeti,53531->53526,5
2026-06-23 12:46:11,yeti,53526->53525,1
2026-06-23 12:48:15,yeti,53525->53524,1
2026-06-23 12:54:24,yeti,53524->53519,5
2026-06-23 12:55:05,yeti,53519->53518,1
2026-06-23 12:56:07,yeti,53518->53523,-5
2026-06-23 12:59:04,yeti,53523->53521,2
2026-06-23 13:01:29,yeti,53521->53520,1
2026-06-23 13:01:39,yeti,53520->53521,-1
2026-06-23 13:03:22,yeti,53521->53520,1
2026-06-23 13:04:45,yeti,53520->53519,1
2026-06-23 13:05:06,yeti,53519->53520,-1
2026-06-23 13:15:51,yeti,53520->53519,1
2026-06-23 13:16:33,yeti,53519->53518,1
2026-06-23 13:20:32,yeti,53518->53516,2
2026-06-23 13:22:17,yeti,53516->53486,30
2026-06-23 13:24:01,yeti,53486->53516,-30
2026-06-23 13:25:34,yeti,53516->53515,1
2026-06-23 13:32:50,yeti,53515->53514,1
2026-06-23 13:44:00,yeti,53514->53511,3
2026-06-23 13:46:05,yeti,53511->53510,1
2026-06-23 13:48:51,yeti,53510->53507,3
2026-06-23 13:50:24,yeti,53507->53510,-3
2026-06-23 13:51:57,yeti,53510->53507,3
2026-06-23 13:57:48,yeti,53507->53506,1
